average_price,plu_4046,plu_4225,plu_4770,geography
1.22,2819.5,28287.42,49.9,Albany
1.79,57.42,153.88,0,Albany
1,364302.39,23821.16,82.15,Atlanta
1.76,1500.15,938.35,0,Atlanta
1.08,53987.31,552906.04,39995.03,Baltimore/Washington
1.29,8040.64,6557.47,657.48,Baltimore/Washington
1.01,44562.12,24964.23,2752.35,Boise
1.64,1.27,1129.5,0,Boise
1.02,7193.87,396752.18,128.82,Boston
1.83,8.66,939.43,0,Boston
1.4,3267.97,55693.04,109.55,Buffalo/Rochester
1.73,0,59.82,0,Buffalo/Rochester
0.93,2843648.26,2267755.26,137479.64,California
1.24,107490.73,25711.96,2.93,California
1.19,29419.03,47220.75,38568.95,Charlotte
2.13,151.7,882.52,905.77,Charlotte
1.11,30270.26,550752.19,124506.1,Chicago
1.49,1189.35,15628.27,0,Chicago
0.88,3274.3,168764.78,1447.06,Cincinnati/Dayton
1.34,144.47,6921.75,0,Cincinnati/Dayton
0.89,80298.77,51860.47,7609.24,Columbus
1.44,358.05,2432.81,0,Columbus
0.74,612795.8,374420.68,9817.28,Dallas/Ft. Worth
1.35,4634.7,1647.92,0,Dallas/Ft. Worth
0.99,117454.09,429518.41,5553.6,Denver
1.42,3199.35,6916.72,7.56,Denver
1.01,121634.27,117865.11,74062.76,Detroit
1.7,361.76,5025.58,0,Detroit
0.95,1097,189348.6,22612.46,Grand Rapids
1.6,23.59,772.85,0,Grand Rapids
1.02,467259.47,2059657.71,318102.38,Great Lakes
1.54,3633.93,42963.06,0,Great Lakes
1.05,32679.84,121020.54,1286.19,Harrisburg/Scranton
1.68,161.68,206.96,0,Harrisburg/Scranton
1.06,6387.6,267593.62,165.35,Hartford/Springfield
2.32,87.56,4364.01,0,Hartford/Springfield
0.71,506426.58,436347.57,4378.92,Houston
1.22,7009.77,671.88,0,Houston
1.02,4007.41,118435.79,1201.5,Indianapolis
1.63,76.89,874.32,0,Indianapolis
0.97,105203.79,19147.78,468.7,Jacksonville
1.81,803.33,47.67,6.98,Jacksonville
0.8,134003.07,120628.37,4591.23,Las Vegas
1.5,3730.8,2141.91,0,Las Vegas
0.85,1837999.65,524430.47,64225.78,Los Angeles
1.25,47721.51,1723.4,0,Los Angeles
0.92,1991.63,75090.16,283.88,Louisville
1.48,12.41,824.64,0,Louisville
0.97,398670.03,54844.33,39.07,Miami/Ft. Lauderdale
1.82,1438.04,53.73,0,Miami/Ft. Lauderdale
1.1,575245.44,1311502.53,181058.65,Midsouth
1.56,10049.66,25228.37,3672.89,Midsouth
1,113865.83,11083.58,11699.03,Nashville
1.84,244.34,2700.02,76.21,Nashville
0.94,148384.22,14085.72,218.63,New Orleans/Mobile
1.41,220.61,23.64,0,New Orleans/Mobile
1.09,23641,1127882.44,1871.07,New York
1.93,2357.18,12692.21,9.47,New York
1.09,126640.65,2860709.93,7580.38,Northeast
1.88,4476.73,22389.09,23.15,Northeast
1.05,4966.76,264351.96,14.68,Northern New England
1.83,6.81,630.24,0,Northern New England
1,190743.27,38265.21,75.22,Orlando
1.8,1200.41,53.55,0,Orlando
1.1,24190.91,294715.33,2121.45,Philadelphia
1.72,384.3,1597.97,11.42,Philadelphia
0.65,770635.37,178418.32,6509.41,Phoenix/Tucson
1.12,14569.66,1868.59,0,Phoenix/Tucson
1.52,3013.04,35456.88,1561.7,Pittsburgh
1.81,754,124.33,0,Pittsburgh
1.01,1027842.3,466641.12,10476.89,Plains
1.69,3874.31,14945.34,32.45,Plains
0.97,126485.75,377138.79,19781.57,Portland
1.28,17580.96,11685.08,3.15,Portland
1.2,53316.16,72178.46,39928.01,Raleigh/Greensboro
2.01,58.22,1493.9,772.21,Raleigh/Greensboro
1.13,56293.75,80396.09,9762.41,Richmond/Norfolk
1.54,238.48,1678.83,372.55,Richmond/Norfolk
1.13,48285.15,37562.78,34.1,Roanoke
1.39,56.21,2760.82,0,Roanoke
1.05,110693.69,270107.61,9737.5,Sacramento
1.33,3727.52,4327.52,0,Sacramento
0.94,244152.26,165299.33,15302.75,San Diego
1.23,17522.46,735.22,2.87,San Diego
0.99,179507.69,637000.1,8803.79,San Francisco
1.18,13175.57,9028.34,0,San Francisco
0.97,165839.16,341836.86,15291.36,Seattle
1.49,6821.76,20720.77,1.23,Seattle
1.01,180977.06,46253.49,12923.45,South Carolina
1.86,355.79,754.78,439.19,South Carolina
0.77,2745009.1,1755142.21,73432.89,South Central
1.35,24139.72,8586.46,0,South Central
0.98,2296069.27,320373.63,18938.42,Southeast
1.75,9307.34,3844.81,615.28,Southeast
1,26607.29,44341.92,3660.64,Spokane
1.3,723.29,4221.15,0,Spokane
1.15,125713.89,34555.73,53.54,St. Louis
1.8,1552.48,1521.26,0,St. Louis
1.33,2506.61,20905.01,16.68,Syracuse
1.72,0,102.71,0,Syracuse
0.97,226346.7,37517.53,53.15,Tampa
1.7,748.62,30.19,0,Tampa
0.95,12357161.34,13624083.05,844093.32,Total U.S.
1.46,233286.13,216611.2,4370.99,Total U.S.
0.89,2275446.87,2582300.65,97024.09,West
1.4,70313.71,72942.11,24.3,West
0.75,426878.87,147958.43,15267.89,West Tex/New Mexico
1.64,1561.3,2958.17,0,West Tex/New Mexico
1.24,1002.85,31640.34,127.12,Albany
1.77,39,305.12,0,Albany
1.11,330411.24,18958.22,1135.18,Atlanta
1.84,1613.69,1207.72,0,Atlanta
1.17,51460.64,420837.82,42526.96,Baltimore/Washington
1.22,12258.26,7094.53,490.24,Baltimore/Washington
1.18,38112.34,10997.54,3321.89,Boise
1.44,0,1923.4,0,Boise
1.1,5548.11,320577.36,121.81,Boston
1.94,12.82,956.07,0,Boston
1.54,1642.25,50985.2,79.61,Buffalo/Rochester
1.59,0,143.51,0,Buffalo/Rochester
0.92,2889591.29,2485720.1,103573.42,California
1.1,123712.51,25975.27,1.47,California
1.26,31586.35,38118.77,40801.77,Charlotte
2.29,155.92,969.82,832.7,Charlotte
1.15,31239.94,558487.79,133848.57,Chicago
1.79,1426.75,10900.1,0,Chicago
0.92,3612.86,153100.22,1203.53,Cincinnati/Dayton
1.32,209.52,10352.17,0,Cincinnati/Dayton
0.97,64726.71,34844.49,7190.05,Columbus
1.68,349.17,3226.58,0,Columbus
0.76,680572.11,348535.22,11900.83,Dallas/Ft. Worth
1.35,7136.34,1353.62,0,Dallas/Ft. Worth
1.09,110974.25,427723.2,5357.69,Denver
1.28,8855.89,15070.85,24.8,Denver
1.08,108378.69,90104.73,76985,Detroit
1.87,417.73,5637.76,0,Detroit
1.03,972.96,127984.25,13798.9,Grand Rapids
1.87,29.06,539.72,0,Grand Rapids
1.1,416900.3,1818618.04,316856.73,Great Lakes
1.69,4362.25,44552.46,0,Great Lakes
1.26,34535.57,78778.96,582.3,Harrisburg/Scranton
1.65,90.15,288.15,0,Harrisburg/Scranton
1.38,4365.27,143001.84,223.15,Hartford/Springfield
2.28,79.31,3190.97,0,Hartford/Springfield
0.78,463272.52,441785.8,4094.47,Houston
1.26,6142.35,818.65,0,Houston
1.25,3024.88,100509.97,1771.71,Indianapolis
1.83,95.46,921.79,0,Indianapolis
1.2,57635.74,17025.48,529.41,Jacksonville
1.91,978.49,24.55,5.85,Jacksonville
0.93,126092.05,101653.19,9591.88,Las Vegas
1.54,4027.3,2083.92,0,Las Vegas
0.85,1786326.65,617233.39,58892.91,Los Angeles
1.08,52087.31,2063.44,0,Los Angeles
1.05,2299.74,53313.74,237.88,Louisville
1.79,0,1219.02,0,Louisville
1.28,242922.42,36043.54,38.69,Miami/Ft. Lauderdale
1.85,1091.28,49.95,0,Miami/Ft. Lauderdale
1.17,560119.16,1032606.49,191515.19,Midsouth
1.52,14570.74,30445.75,3170.11,Midsouth
1.07,103822.6,9098.86,11665.78,Nashville
1.92,204.75,2168.33,80.56,Nashville
0.97,165505.1,10680.54,231.54,New Orleans/Mobile
1.44,233.3,15.81,0,New Orleans/Mobile
1.34,15880.8,714530.7,2315.72,New York
2.03,1744.44,10901.43,60.93,New York
1.28,97343.55,2070661.43,6915.47,Northeast
1.86,3611.57,20043.89,65.93,Northeast
1.06,4578.25,265252.09,22.9,Northern New England
1.88,1.13,590.02,0,Northern New England
1.29,119336.02,39236.11,52.44,Orlando
1.92,1290.27,53.66,0,Orlando
1.38,14323.61,198387.14,1715.41,Philadelphia
1.63,428.55,1809.47,4.83,Philadelphia
0.61,849580.75,182629.59,12237.43,Phoenix/Tucson
1.36,11523.29,1632.63,0,Phoenix/Tucson
1.54,1491.88,33759.12,1325.17,Pittsburgh
1.82,767.08,328.49,0,Pittsburgh
1.09,737363.86,448207.79,10009.45,Plains
1.68,6636.08,15284.43,4.62,Plains
1.05,121596.43,292968.56,22743.24,Portland
1.22,18893.87,19745.21,0,Portland
1.24,43986.78,54185.12,41272.69,Raleigh/Greensboro
1.98,31.58,1957.67,672.88,Raleigh/Greensboro
1.15,71743.11,66849.97,10952.11,Richmond/Norfolk
1.66,143.78,2060.44,270.92,Richmond/Norfolk
1.16,45706.36,37629.54,57.82,Roanoke
1.47,82.94,4065.47,0,Roanoke
1.09,109368.41,271300.08,5094.23,Sacramento
1.27,4243.14,3033.84,0,Sacramento
0.82,303369.02,192913.11,12900.65,San Diego
1.05,18294.44,767.68,1.44,San Diego
1.03,155455.32,670522.75,4107.26,San Francisco
1.12,17907.49,11586.46,0,San Francisco
1.06,144349.43,278069.43,18076.48,Seattle
1.46,8691.73,33361.78,13.48,Seattle
1.1,162428.39,39713.75,14197.05,South Carolina
2.06,474.97,793.53,357.87,South Carolina
0.8,2973367.52,1717171.24,88373.78,South Central
1.39,27767.97,8596.61,0,South Central
1.18,1667012.92,269027.02,21918.53,Southeast
1.83,10166.46,4678.19,524.42,Southeast
1.07,21973.57,35996.7,4131.75,Spokane
1.38,1159.37,3192.62,1.83,Spokane
1.29,79292.59,41050.38,62.72,St. Louis
1.84,1908.7,1590.15,0,St. Louis
1.45,984.29,21576.29,14.93,Syracuse
1.66,1.24,195.51,0,Syracuse
1.24,142237.71,36017.93,56.25,Tampa
1.84,814.13,44.49,0,Tampa
1.01,11544810.53,12134773.38,866574.66,Total U.S.
1.42,270966.74,260971.6,3830.42,Total U.S.
0.95,2203111.92,2292761.26,127412.09,West
1.39,80139.16,111395.01,63.88,West
0.92,347125.63,129717.42,27944.07,West Tex/New Mexico
1.69,1822.28,2377.54,0,West Tex/New Mexico
1.17,914.14,31540.32,135.77,Albany
1.93,8.02,178.78,0,Albany
1.11,372236.92,18701.9,511.69,Atlanta
1.86,2138.51,989.4,0,Atlanta
1.23,49947.16,393359.6,40576.08,Baltimore/Washington
1.41,8148.89,4725.43,659.56,Baltimore/Washington
1.08,50354.95,6342.37,2257.23,Boise
1.44,8.83,2513.36,0,Boise
1.23,4383.76,287778.52,132.53,Boston
2,4.22,834.34,0,Boston
1.52,1625.26,61859.85,133.29,Buffalo/Rochester
1.64,91.85,137.49,0,Buffalo/Rochester
1.02,2780859.66,2108450.36,121614.31,California
1.24,123138.29,58616.16,0,California
1.25,26462.87,40475.81,38677.39,Charlotte
2.15,346.76,744.32,766.41,Charlotte
1.14,24917.77,533717.99,140239.95,Chicago
1.81,1154.81,10830.61,0,Chicago
0.93,3333.29,128858.15,1086.61,Cincinnati/Dayton
1.37,282.08,9374.23,0,Cincinnati/Dayton
1.02,55532.76,26458.99,7040.95,Columbus
1.84,279.22,2959.75,0,Columbus
0.76,627090.61,374230.89,15550.56,Dallas/Ft. Worth
1.28,7556.77,871.27,0,Dallas/Ft. Worth
0.99,151976.7,500683.5,4225.31,Denver
1.1,5475.13,32538.95,42.01,Denver
1.1,113616.86,45446.17,37740.18,Detroit
1.9,376.08,6430.19,0,Detroit
1.07,970.13,78433.37,6411.99,Grand Rapids
1.88,20.71,488.77,0,Grand Rapids
1.08,401683.43,1650327.26,257105.89,Great Lakes
1.73,3941.59,43653.15,0,Great Lakes
1.24,30928.18,85410.46,535.87,Harrisburg/Scranton
1.94,50.54,127.76,8.74,Harrisburg/Scranton
1.39,3347.41,160683.8,286.52,Hartford/Springfield
2.35,39.56,2233.79,12.07,Hartford/Springfield
0.77,458532.19,429687.47,9353.74,Houston
1.2,8538.96,690.68,0,Houston
1.14,2910.77,103890.9,2048.78,Indianapolis
1.96,45.28,925.94,0,Indianapolis
1.27,57479.2,16442.71,513.69,Jacksonville
1.82,846.65,55.27,1.18,Jacksonville
1.06,100191.96,94930.69,4887.89,Las Vegas
1.63,3449.94,1769.04,0,Las Vegas
0.89,1925013.31,526106.8,59364.23,Los Angeles
1.29,33738.87,1368.91,0,Los Angeles
1.06,2250.1,63826.82,426.73,Louisville
