type,small_bags,large_bags,xlarge_bags,total_bags
conventional,9186.93,529.53,0,9716.46
organic,1162.65,0,0,1162.65
conventional,16707.15,30108.64,0,46815.79
organic,1071.35,336.84,0,1408.19
conventional,137146.07,3990.61,0,141136.68
organic,3881.69,0,0,3881.69
conventional,6064.3,1691.32,0,7755.62
organic,186.67,187.68,0,374.35
conventional,87406.84,256.29,0,87663.13
organic,1244.04,0,0,1244.04
conventional,57182.88,0,0,57182.88
organic,320,0,0,320
conventional,477193.38,47882.56,3375.8,528451.74
organic,9144.15,0,0,9144.15
conventional,44329.03,6468.53,0,50797.56
organic,1025.63,0,0,1025.63
conventional,72888.46,4651.02,0,77539.48
organic,905.55,0,0,905.55
conventional,17525.31,37445.46,112.67,55083.44
organic,585.96,1112.15,0,1698.11
conventional,16518.15,2132.21,219.2,18869.56
organic,444.17,695.91,0,1140.08
conventional,54563.33,34760.08,6.8,89330.21
organic,3613.34,0,0,3613.34
conventional,67894.33,47661.52,4.05,115559.9
organic,1076.67,11279.77,0,12356.44
conventional,46679.86,1060.51,8391.76,56132.13
organic,746.43,1312.66,0,2059.09
conventional,43899.46,1097.68,924.43,45921.57
organic,210,6.17,0,216.17
conventional,412779.64,111072.91,13928.01,537780.56
organic,9763.55,5254.56,0,15018.11
conventional,47583.64,1368.93,0,48952.57
organic,2528.08,0,0,2528.08
conventional,55401.31,2660.26,0,58061.57
organic,349.53,0,0,349.53
conventional,90299.85,25537.7,0,115837.55
organic,1256.67,0,0,1256.67
conventional,20325.41,16160.04,0,36485.45
organic,542.89,286.5,0,829.39
conventional,13653.15,15033.42,0,28686.57
organic,523.33,0,0,523.33
conventional,58126.59,512.09,0,58638.68
organic,426.67,30.45,0,457.12
conventional,215571.8,36981.72,2950.53,255504.05
organic,5050.63,0,0,5050.63
conventional,7769.36,16027.95,0,23797.31
organic,478.15,80.55,0,558.7
conventional,38505.18,48175.61,0,86680.79
organic,796.67,0,0,796.67
conventional,429166.89,80986.81,314.8,510468.5
organic,17280.89,1833.54,0,19114.43
conventional,19681.13,5611.51,221.67,25514.31
organic,838.34,107.09,0,945.43
conventional,54422.22,5640.72,0,60062.94
organic,2360,0,0,2360
conventional,178683.01,70812.68,0,249495.69
organic,2269.38,0,0,2269.38
conventional,669970.5,94381.16,0,764351.66
organic,21379.79,11.7,0,21391.49
conventional,52490.37,0,0,52490.37
organic,6664.25,0,0,6664.25
conventional,19933.7,32785.79,0,52719.49
organic,803.33,0,0,803.33
conventional,72829.94,13817.93,0,86647.87
organic,1794.91,0,0,1794.91
conventional,92499.06,0,0,92499.06
organic,830,28.6,0,858.6
conventional,11264.8,3660.38,0,14925.18
organic,447.01,14.02,0,461.03
conventional,177360.2,440.57,1034.22,178834.99
organic,13793.22,1545.05,0,15338.27
conventional,61308.73,15251.02,0,76559.75
organic,613.33,3045.3,0,3658.63
conventional,44040.64,11623.19,0,55663.83
organic,993.94,78.73,0,1072.67
conventional,31778.36,4467.36,0,36245.72
organic,1570.28,352.02,0,1922.3
conventional,21582.97,1750,0,23332.97
organic,1139.42,457.84,0,1597.26
conventional,39600.08,0,0,39600.08
organic,1158.45,0,0,1158.45
conventional,30884.29,5595,373.7,36852.99
organic,828.81,0,0,828.81
conventional,82033.71,444.44,6.16,82484.31
organic,426.67,0,0,426.67
conventional,96695.27,14859.69,0,111554.96
organic,452.73,5799.42,0,6252.15
conventional,52556,16314.22,0,68870.22
organic,1768.67,33.33,0,1802
conventional,442217.85,128451.37,13.59,570682.81
organic,20622.28,146.45,0,20768.73
conventional,287820.14,280910.7,0,568730.84
organic,13061.1,537.36,0,13598.46
conventional,9556.06,446.48,0,10002.54
organic,223.33,614.93,0,838.26
conventional,38400.99,11.11,0,38412.1
organic,523.33,0,0,523.33
conventional,17715.21,0,0,17715.21
organic,490.68,0,0,490.68
conventional,33447.51,42544.24,0,75991.75
organic,1106.67,0,0,1106.67
conventional,3585321.58,894945.63,18672.81,4498940.02
organic,115068.71,43573.12,0,158641.83
conventional,688813.01,150819.57,6.39,839638.97
organic,10023.72,34244.46,0,44268.18
conventional,165202.22,2811.54,0,168013.76
organic,1663.34,0,0,1663.34
conventional,8036.04,388.73,0,8424.77
organic,838.44,0,0,838.44
conventional,21309.61,25728.47,0,47038.08
organic,865,57.41,0,922.41
conventional,151330.87,4075.65,0,155406.52
organic,6165.85,0,0,6165.85
conventional,3295.11,1628.64,0,4923.75
organic,170,285.28,0,455.28
conventional,111192.88,331.73,0,111524.61
organic,1248.93,0,0,1248.93
conventional,53514.26,0,0,53514.26
organic,1934.98,0,0,1934.98
conventional,510560.41,31874.03,3613.09,546047.53
organic,8421.43,0,0,8421.43
conventional,38822.26,10613.53,0,49435.79
organic,431.78,0,0,431.78
conventional,74716.43,4539.25,42.96,79298.64
organic,588.89,0,0,588.89
conventional,17035.73,26345.43,94.5,43475.66
organic,310.62,441.46,0,752.08
conventional,16400.27,2458.67,122.29,18981.23
organic,416.25,201.17,0,617.42
conventional,67857.83,19801.95,25.1,87684.88
organic,3636.67,0,0,3636.67
conventional,85793.27,36703.98,26.96,122524.21
organic,1699.95,5031.28,0,6731.23
conventional,48639.13,620.82,7436.68,56696.63
organic,329.5,541.76,0,871.26
conventional,39193.44,2896.97,288.89,42379.3
organic,190,3.08,0,193.08
conventional,412976.97,91214.54,11071.74,515263.25
organic,7266.75,1880.19,0,9146.94
conventional,63840.09,998.33,0,64838.42
organic,3504.58,0,0,3504.58
conventional,83319.8,1730.09,0,85049.89
organic,193.33,0,0,193.33
conventional,126995.76,25923.1,0,152918.86
organic,600,0,0,600
conventional,18466.87,14765.56,78.05,33310.48
organic,357.75,35.31,0,393.06
conventional,14862.7,9703.84,0,24566.54
organic,240,0,0,240
conventional,36874.44,269.92,0,37144.36
organic,33.33,0,0,33.33
conventional,222971.68,25111.74,3163.23,251246.65
organic,6081.88,0,0,6081.88
conventional,7964.88,11299.66,13.46,19278
organic,173.93,42.53,0,216.46
conventional,35069.71,28722.63,0,63792.34
organic,473.33,0,0,473.33
conventional,465764.93,85966.27,14.07,551745.27
organic,16715.45,581.03,0,17296.48
conventional,22478.92,2766.04,0,25244.96
organic,435.54,3.11,0,438.65
conventional,59593.91,3221.26,0,62815.17
organic,1243.33,0,0,1243.33
conventional,221731.33,63767.28,0,285498.61
organic,2111.17,0,0,2111.17
conventional,796190.93,84913.39,0,881104.32
organic,26332.17,26.25,0,26358.42
conventional,44863.79,0,0,44863.79
organic,5894.15,0,0,5894.15
conventional,18762.45,24647.57,0,43410.02
organic,266.67,0,0,266.67
conventional,88980,12578.06,0,101558.06
organic,4465.66,6.67,0,4472.33
conventional,66305.28,0,0,66305.28
organic,876.68,2.58,0,879.26
conventional,12165.94,5902.21,0,18068.15
organic,564.2,3.48,0,567.68
conventional,205299.64,954.59,1006.5,207260.73
organic,13774.1,1918.72,0,15692.82
conventional,64831.61,8012.83,0,72844.44
organic,480,3997.36,0,4477.36
conventional,50818.2,15497.88,0,66316.08
organic,1195.75,4.84,0,1200.59
conventional,36160.54,8754.86,0,44915.4
organic,412.81,26.4,0,439.21
conventional,26555.99,3286.11,0,29842.1
organic,806.48,173.17,0,979.65
conventional,43722.89,6.67,0,43729.56
organic,321.28,0,0,321.28
conventional,31807.96,3271.85,404.59,35484.4
organic,1025.96,0,0,1025.96
conventional,85706.54,658.89,0,86365.43
organic,182.83,0,0,182.83
conventional,81221.3,5632.65,1.53,86855.48
organic,223.33,4396.69,0,4620.02
conventional,44864.96,18502.58,0,63367.54
organic,674.61,3.32,0,677.93
conventional,533599.2,97164.07,50.21,630813.48
organic,16873.34,90.61,0,16963.95
conventional,260164,215173.14,0,475337.14
organic,8164.48,157.1,0,8321.58
conventional,6899.1,1695.95,0,8595.05
organic,140,287.05,0,427.05
conventional,44509.7,2.22,0,44511.92
organic,263.33,0,0,263.33
conventional,19441.98,0,0,19441.98
organic,565.4,0,0,565.4
conventional,19605.39,37313.8,0,56919.19
organic,400,0,0,400
conventional,3783261.16,718333.87,15789.15,4517384.18
organic,106844.49,26915.63,0,133760.12
conventional,598705.08,111073.82,33.54,709812.44
organic,9296.76,22261.74,0,31558.5
conventional,78503.46,1606.41,0,80109.87
organic,2656.66,5.25,0,2661.91
conventional,11651.09,269.96,0,11921.05
organic,931.67,0,0,931.67
conventional,16782.71,23257.77,0,40040.48
organic,1019.34,146.76,0,1166.1
conventional,169390.88,4467.62,0,173858.5
organic,461.75,61.82,0,523.57
conventional,1119.18,2796.76,0,3915.94
organic,143.33,308.42,0,451.75
conventional,108668.74,367.78,0,109036.52
organic,1370.78,0,0,1370.78
conventional,43419.67,2.22,0,43421.89
organic,1197.53,0,0,1197.53
conventional,520299.26,36501.18,3190.49,559990.93
organic,13453.15,0,0,13453.15
conventional,33996.73,13058.35,0,47055.08
organic,840.32,0,0,840.32
conventional,95516.44,3311.71,37.57,98865.72
organic,514.45,0,0,514.45
conventional,24024.17,18264.75,114.12,42403.04
organic,351.87,43.22,0,395.09
conventional,24386.64,2962.41,68.46,27417.51
organic,213.33,575.15,0,788.48
conventional,62375.69,12416.71,12.83,74805.23
organic,4206.67,0,0,4206.67
conventional,77528.06,73764.68,16.16,151308.9
organic,992.64,3186.18,0,4178.82
conventional,92319.38,1066.01,1599.83,94985.22
organic,446.67,403.78,0,850.45
conventional,60381.95,3727.81,276.14,64385.9
