type,average_price,on_date,year,total_volume
conventional,1.22,2015-01-04,2015,40873.28
organic,1.79,2015-01-04,2015,1373.95
conventional,1,2015-01-04,2015,435021.49
organic,1.76,2015-01-04,2015,3846.69
conventional,1.08,2015-01-04,2015,788025.06
organic,1.29,2015-01-04,2015,19137.28
conventional,1.01,2015-01-04,2015,80034.32
organic,1.64,2015-01-04,2015,1505.12
conventional,1.02,2015-01-04,2015,491738
organic,1.83,2015-01-04,2015,2192.13
conventional,1.4,2015-01-04,2015,116253.44
organic,1.73,2015-01-04,2015,379.82
conventional,0.93,2015-01-04,2015,5777334.9
organic,1.24,2015-01-04,2015,142349.77
conventional,1.19,2015-01-04,2015,166006.29
organic,2.13,2015-01-04,2015,2965.62
conventional,1.11,2015-01-04,2015,783068.03
organic,1.49,2015-01-04,2015,17723.17
conventional,0.88,2015-01-04,2015,228569.58
organic,1.34,2015-01-04,2015,8764.33
conventional,0.89,2015-01-04,2015,158638.04
organic,1.44,2015-01-04,2015,3930.94
conventional,0.74,2015-01-04,2015,1086363.97
organic,1.35,2015-01-04,2015,9895.96
conventional,0.99,2015-01-04,2015,668086
organic,1.42,2015-01-04,2015,22480.07
conventional,1.01,2015-01-04,2015,369694.27
organic,1.7,2015-01-04,2015,7446.43
conventional,0.95,2015-01-04,2015,258979.63
organic,1.6,2015-01-04,2015,1012.61
conventional,1.02,2015-01-04,2015,3382800.12
organic,1.54,2015-01-04,2015,61615.1
conventional,1.05,2015-01-04,2015,203939.14
organic,1.68,2015-01-04,2015,2896.72
conventional,1.06,2015-01-04,2015,332208.14
organic,2.32,2015-01-04,2015,4801.1
conventional,0.71,2015-01-04,2015,1062990.62
organic,1.22,2015-01-04,2015,8938.32
conventional,1.02,2015-01-04,2015,160130.15
organic,1.63,2015-01-04,2015,1780.6
conventional,0.97,2015-01-04,2015,153506.84
organic,1.81,2015-01-04,2015,1381.31
conventional,0.8,2015-01-04,2015,317861.35
organic,1.5,2015-01-04,2015,6329.83
conventional,0.85,2015-01-04,2015,2682159.95
organic,1.25,2015-01-04,2015,54495.54
conventional,0.92,2015-01-04,2015,101162.98
organic,1.48,2015-01-04,2015,1395.75
conventional,0.97,2015-01-04,2015,540234.22
organic,1.82,2015-01-04,2015,2288.44
conventional,1.1,2015-01-04,2015,2578275.12
organic,1.56,2015-01-04,2015,58065.35
conventional,1,2015-01-04,2015,162162.75
organic,1.84,2015-01-04,2015,3966
conventional,0.94,2015-01-04,2015,222751.51
organic,1.41,2015-01-04,2015,2604.25
conventional,1.09,2015-01-04,2015,1402890.2
organic,1.93,2015-01-04,2015,17328.24
conventional,1.09,2015-01-04,2015,3759282.62
organic,1.88,2015-01-04,2015,48280.46
conventional,1.05,2015-01-04,2015,321823.77
organic,1.83,2015-01-04,2015,7301.3
conventional,1,2015-01-04,2015,281803.19
organic,1.8,2015-01-04,2015,2057.29
conventional,1.1,2015-01-04,2015,407675.56
organic,1.72,2015-01-04,2015,3788.6
conventional,0.65,2015-01-04,2015,1048062.16
organic,1.12,2015-01-04,2015,17296.85
conventional,1.52,2015-01-04,2015,54956.8
organic,1.81,2015-01-04,2015,1339.36
conventional,1.01,2015-01-04,2015,1683795.3
organic,1.69,2015-01-04,2015,34190.37
conventional,0.97,2015-01-04,2015,599965.86
organic,1.28,2015-01-04,2015,32927.82
conventional,1.2,2015-01-04,2015,221086.46
organic,2.01,2015-01-04,2015,3397
conventional,1.13,2015-01-04,2015,182697.97
organic,1.54,2015-01-04,2015,4212.16
conventional,1.13,2015-01-04,2015,109215
organic,1.39,2015-01-04,2015,4414.29
conventional,1.05,2015-01-04,2015,430138.88
organic,1.33,2015-01-04,2015,9213.49
conventional,0.94,2015-01-04,2015,461607.33
organic,1.23,2015-01-04,2015,19089.36
conventional,0.99,2015-01-04,2015,907795.89
organic,1.18,2015-01-04,2015,22630.58
conventional,0.97,2015-01-04,2015,634522.34
organic,1.49,2015-01-04,2015,33795.91
conventional,1.01,2015-01-04,2015,309024.22
organic,1.86,2015-01-04,2015,3351.76
conventional,0.77,2015-01-04,2015,5144267.01
organic,1.35,2015-01-04,2015,53494.91
conventional,0.98,2015-01-04,2015,3204112.16
organic,1.75,2015-01-04,2015,27365.89
conventional,1,2015-01-04,2015,84612.39
organic,1.3,2015-01-04,2015,5782.7
conventional,1.15,2015-01-04,2015,198735.26
organic,1.8,2015-01-04,2015,3597.07
conventional,1.33,2015-01-04,2015,41143.51
organic,1.72,2015-01-04,2015,593.39
conventional,0.97,2015-01-04,2015,339909.13
organic,1.7,2015-01-04,2015,1885.48
conventional,0.95,2015-01-04,2015,31324277.73
organic,1.46,2015-01-04,2015,612910.15
conventional,0.89,2015-01-04,2015,5794410.58
organic,1.4,2015-01-04,2015,187548.3
conventional,0.75,2015-01-04,2015,758118.95
organic,1.64,2015-01-04,2015,6182.81
conventional,1.24,2015-01-11,2015,41195.08
organic,1.77,2015-01-11,2015,1182.56
conventional,1.11,2015-01-11,2015,397542.72
organic,1.84,2015-01-11,2015,3743.82
conventional,1.17,2015-01-11,2015,670231.94
organic,1.22,2015-01-11,2015,26008.88
conventional,1.18,2015-01-11,2015,57355.52
organic,1.44,2015-01-11,2015,2378.68
conventional,1.1,2015-01-11,2015,437771.89
organic,1.94,2015-01-11,2015,2217.82
conventional,1.54,2015-01-11,2015,106221.32
organic,1.59,2015-01-11,2015,2078.49
conventional,0.92,2015-01-11,2015,6024932.34
organic,1.1,2015-01-11,2015,158110.68
conventional,1.26,2015-01-11,2015,159942.68
organic,2.29,2015-01-11,2015,2390.22
conventional,1.15,2015-01-11,2015,802874.94
organic,1.79,2015-01-11,2015,12915.74
conventional,0.92,2015-01-11,2015,201392.27
organic,1.32,2015-01-11,2015,11313.77
conventional,0.97,2015-01-11,2015,125742.48
organic,1.68,2015-01-11,2015,4193.17
conventional,0.76,2015-01-11,2015,1128693.04
organic,1.35,2015-01-11,2015,12126.63
conventional,1.09,2015-01-11,2015,666579.35
organic,1.28,2015-01-11,2015,30682.77
conventional,1.08,2015-01-11,2015,332165.05
organic,1.87,2015-01-11,2015,6926.75
conventional,1.03,2015-01-11,2015,185135.41
organic,1.87,2015-01-11,2015,761.86
conventional,1.1,2015-01-11,2015,3067638.32
organic,1.69,2015-01-11,2015,58061.65
conventional,1.26,2015-01-11,2015,178735.25
organic,1.65,2015-01-11,2015,3882.88
conventional,1.38,2015-01-11,2015,232640.15
organic,2.28,2015-01-11,2015,3463.61
conventional,0.78,2015-01-11,2015,1062071.65
organic,1.26,2015-01-11,2015,7561
conventional,1.25,2015-01-11,2015,138617.04
organic,1.83,2015-01-11,2015,1410.31
conventional,1.2,2015-01-11,2015,99757.17
organic,1.91,2015-01-11,2015,1248.89
conventional,0.93,2015-01-11,2015,274481.48
organic,1.54,2015-01-11,2015,6144.55
conventional,0.85,2015-01-11,2015,2713699.6
organic,1.08,2015-01-11,2015,60232.63
conventional,1.05,2015-01-11,2015,75129.36
organic,1.79,2015-01-11,2015,1435.48
conventional,1.28,2015-01-11,2015,342796.99
organic,1.85,2015-01-11,2015,1614.56
