MOCK_DATA (1)
date ,average_price,total_volume,PLU 4046,PLU 4225,total_bags,small_bags,large_bags,xlarge_bags,type,year
4/23/2017,$2.09,44.0,98.56,16.67,75.98,87,82,60,M,1992
10/16/2015,$6.01,87.59,57.61,77.1,67.88,21,8,83,F,1985
8/28/2015,$1.87,23.11,90.85,7.98,19.93,97,46,95,F,2001
9/16/2015,$2.56,53.61,70.63,90.3,18.26,30,55,99,M,1997
9/9/2019,$3.42,75.11,97.12,28.05,22.42,81,35,10,M,1999
1/3/2016,$4.98,68.07,37.59,82.63,66.19,25,53,86,F,1994
10/13/2018,$7.60,76.51,34.6,59.23,44.05,39,44,76,M,2002
12/29/2018,$0.96,53.48,96.23,40.89,56.24,94,12,29,F,1992
7/25/2017,$7.71,4.92,52.06,40.81,44.04,76,26,67,M,2005
2/8/2017,$1.53,59.72,67.74,71.48,15.49,20,56,83,M,1998
4/29/2015,$2.29,43.61,70.3,71.75,66.58,86,33,97,F,1993
12/2/2015,$6.69,19.6,89.33,81.16,70.1,9,75,92,F,2011
8/29/2019,$0.71,45.69,71.13,59.47,19.88,56,51,92,F,2002
9/10/2016,$0.88,49.56,34.97,52.52,44.21,30,29,17,M,2003
6/13/2015,$4.84,17.6,80.64,99.16,38.74,96,76,93,F,2006
3/14/2018,$9.70,60.13,96.1,1.75,56.14,26,19,97,M,2011
3/16/2018,$4.80,36.61,61.32,43.56,76.62,50,100,20,F,1993
1/31/2017,$5.73,22.62,91.13,36.58,54.25,90,16,66,M,1996
2/2/2017,$1.47,55.54,69.19,36.97,46.73,81,13,16,F,2009
7/30/2017,$2.26,37.96,35.72,74.66,87.0,8,8,68,F,2011
5/26/2018,$1.53,2.52,31.1,93.76,31.19,53,36,95,F,1991
12/4/2019,$4.44,21.66,64.94,74.31,18.94,7,69,62,M,2012
8/30/2017,$4.75,15.57,9.02,87.85,85.81,61,30,20,F,1996
9/29/2019,$1.56,90.12,52.85,29.24,16.71,97,55,96,M,1999
12/29/2018,$9.44,2.51,83.61,54.72,29.49,8,81,86,F,2011
6/15/2017,$8.77,25.81,33.42,39.17,45.22,8,28,86,M,2009
5/27/2017,$6.74,42.2,54.91,99.58,10.12,64,41,1,F,2010
7/16/2017,$6.77,56.48,76.72,63.13,60.23,53,25,29,F,1997
1/9/2016,$2.31,8.81,20.2,89.72,85.54,62,67,72,F,1967
2/23/2018,$2.82,58.42,91.95,18.47,76.89,16,40,93,F,1997
1/23/2018,$0.35,63.2,16.05,29.3,81.87,43,96,59,M,2002
5/5/2020,$3.52,56.3,57.73,43.97,65.46,52,83,79,F,2002
6/30/2016,$6.61,15.67,45.32,2.04,12.5,21,79,56,M,2012
6/29/2018,$2.37,87.27,86.7,54.72,29.56,35,83,8,F,1988
1/29/2017,$3.37,71.39,81.78,67.04,73.29,63,22,31,F,2004
5/28/2019,$6.44,33.59,98.32,94.09,45.83,87,36,3,M,2007
5/22/2016,$6.78,59.76,54.01,91.29,10.28,90,89,84,F,2008
8/14/2017,$2.79,81.09,81.93,31.65,75.8,13,40,98,M,1985
10/27/2015,$0.25,35.39,88.93,10.25,93.86,4,72,74,M,2006
12/18/2018,$8.86,8.26,66.01,13.89,75.52,63,99,29,M,2007
2/27/2016,$9.31,50.64,75.49,54.98,52.64,85,86,51,F,2003
3/11/2020,$3.13,94.61,79.06,33.45,67.79,66,76,51,F,1994
4/8/2019,$3.99,90.03,87.33,87.21,45.57,5,22,52,M,2001
11/23/2019,$6.86,17.26,14.67,27.56,57.6,45,27,100,M,2004
1/31/2017,$7.24,4.62,55.8,78.57,59.06,28,41,54,F,1998
6/14/2019,$3.18,95.8,29.88,32.99,52.88,48,79,59,M,2007
5/8/2020,$9.23,39.72,29.29,86.1,72.85,1,66,32,M,2011
2/3/2015,$6.98,56.62,83.81,28.8,28.79,97,45,91,M,1996
1/13/2016,$3.34,32.67,14.97,2.86,25.64,87,12,9,F,1996
11/7/2016,$8.51,36.65,69.55,28.6,65.91,89,49,48,M,1996
2/20/2017,$8.56,70.99,66.24,80.91,44.74,5,5,68,F,2003
5/2/2017,$5.25,37.07,32.88,11.55,98.93,62,94,34,F,1996
2/18/2015,$8.58,29.23,70.51,84.54,59.97,96,20,71,M,2005
10/18/2018,$4.25,97.58,48.47,52.73,44.53,43,16,64,M,2008
1/31/2016,$9.67,3.25,67.95,4.84,90.53,46,6,24,M,1999
12/27/2019,$6.35,93.16,81.58,99.97,11.94,56,66,73,M,1986
2/17/2019,$1.28,80.33,95.58,9.88,47.05,85,11,93,M,2006
9/26/2019,$8.81,38.21,62.89,29.79,5.18,60,51,79,M,1995
1/4/2019,$0.74,9.79,66.74,92.61,30.98,43,52,13,F,2010
8/31/2016,$0.68,79.76,46.13,35.8,63.52,67,1,90,M,2008
10/3/2019,$8.44,71.16,48.54,23.37,56.97,1,56,99,M,1986
10/7/2015,$6.44,83.63,15.43,9.28,91.8,61,67,93,M,1987
10/11/2015,$2.58,32.85,31.04,87.82,42.87,48,81,21,M,2011
1/16/2020,$1.59,31.63,80.97,38.38,79.34,64,54,83,M,1992
5/14/2015,$3.92,20.95,22.2,77.42,33.92,11,46,14,F,1992
8/25/2018,$7.80,28.67,27.42,57.94,67.43,30,42,87,M,1994
7/2/2015,$3.72,62.61,10.46,37.78,42.31,34,5,8,M,2009
1/2/2016,$0.52,75.72,56.56,82.59,61.29,33,25,31,M,1988
10/22/2018,$9.82,43.74,32.59,27.27,63.55,3,37,47,F,2011
4/24/2018,$5.73,45.35,95.64,68.87,89.96,12,93,72,F,2001
11/28/2015,$0.15,96.58,7.71,86.25,53.85,38,4,89,F,2009
7/21/2015,$4.59,22.13,5.92,73.41,92.21,94,69,52,F,1999
3/27/2018,$0.87,36.41,74.22,40.6,2.39,45,92,83,F,1993
8/13/2015,$4.27,56.68,86.9,14.82,24.58,75,34,90,F,2009
8/22/2018,$9.21,95.08,13.12,3.47,19.21,3,75,68,F,2010
11/21/2016,$8.57,67.73,26.1,47.92,76.91,27,59,57,F,2005
6/30/2017,$7.93,69.82,17.02,3.01,13.42,35,7,74,M,2002
1/31/2016,$5.96,84.3,70.78,83.04,49.58,77,62,29,M,1996
2/23/2015,$1.00,81.32,49.56,42.18,85.78,25,51,1,M,1999
8/30/2018,$7.84,60.69,47.48,70.62,31.74,78,71,50,M,1992
2/29/2020,$4.19,88.7,70.16,67.53,22.78,53,59,77,F,2009
12/3/2019,$6.15,36.55,76.05,5.0,71.56,39,14,71,M,2008
9/1/2017,$7.39,48.34,19.8,35.94,81.34,61,19,26,F,1988
4/9/2019,$3.43,77.95,11.52,48.76,43.02,42,17,23,M,2006
4/14/2015,$5.92,43.26,16.12,83.91,12.46,48,13,65,M,2003
1/14/2016,$7.64,34.42,88.03,79.87,35.61,38,54,31,M,2009
8/9/2015,$0.97,65.45,85.48,17.48,48.24,68,78,51,F,1999
1/22/2019,$0.60,93.68,57.97,65.1,87.31,25,41,61,M,1993
4/5/2019,$8.92,39.92,23.33,8.97,71.45,60,71,29,F,2008
8/22/2017,$3.06,71.48,47.28,87.03,9.04,15,5,84,M,2005
12/31/2019,$5.96,50.29,72.43,89.26,97.6,1,93,92,F,2008
4/22/2015,$4.26,89.82,98.83,90.97,19.73,6,14,12,F,1997
1/11/2017,$7.07,71.35,34.96,95.82,63.95,15,99,21,F,1999
5/2/2018,$0.48,18.86,61.18,72.51,43.15,59,76,37,M,2009
5/25/2017,$0.15,11.72,91.19,88.1,86.26,79,8,21,F,2004
2/4/2020,$6.77,8.97,12.05,74.66,12.8,56,3,15,F,1998
8/21/2016,$1.51,81.45,48.51,45.82,8.37,43,70,66,F,2010
