average_price,4046,4225,4770,type,geography
1.22,2819.5,28287.42,49.9,conventional,Albany
1.79,57.42,153.88,0.0,organic,Albany
1.0,364302.39,23821.16,82.15,conventional,Atlanta
1.76,1500.15,938.35,0.0,organic,Atlanta
1.08,53987.31,552906.04,39995.03,conventional,Baltimore/Washington
1.29,8040.64,6557.47,657.48,organic,Baltimore/Washington
1.01,44562.12,24964.23,2752.35,conventional,Boise
1.64,1.27,1129.5,0.0,organic,Boise
1.02,7193.87,396752.18,128.82,conventional,Boston
1.83,8.66,939.43,0.0,organic,Boston
1.4,3267.97,55693.04,109.55,conventional,Buffalo/Rochester
1.73,0.0,59.82,0.0,organic,Buffalo/Rochester
0.93,2843648.26,2267755.26,137479.64,conventional,California
1.24,107490.73,25711.96,2.93,organic,California
1.19,29419.03,47220.75,38568.95,conventional,Charlotte
2.13,151.7,882.52,905.77,organic,Charlotte
1.11,30270.26,550752.19,124506.1,conventional,Chicago
1.49,1189.35,15628.27,0.0,organic,Chicago
0.88,3274.3,168764.78,1447.06,conventional,Cincinnati/Dayton
1.34,144.47,6921.75,0.0,organic,Cincinnati/Dayton
0.89,80298.77,51860.47,7609.24,conventional,Columbus
1.44,358.05,2432.81,0.0,organic,Columbus
0.74,612795.8,374420.68,9817.28,conventional,Dallas/Ft. Worth
1.35,4634.7,1647.92,0.0,organic,Dallas/Ft. Worth
0.99,117454.09,429518.41,5553.6,conventional,Denver
1.42,3199.35,6916.72,7.56,organic,Denver
1.01,121634.27,117865.11,74062.76,conventional,Detroit
1.7,361.76,5025.58,0.0,organic,Detroit
0.95,1097.0,189348.6,22612.46,conventional,Grand Rapids
1.6,23.59,772.85,0.0,organic,Grand Rapids
1.05,32679.84,121020.54,1286.19,conventional,Harrisburg/Scranton
1.68,161.68,206.96,0.0,organic,Harrisburg/Scranton
1.06,6387.6,267593.62,165.35,conventional,Hartford/Springfield
2.32,87.56,4364.01,0.0,organic,Hartford/Springfield
0.71,506426.58,436347.57,4378.92,conventional,Houston
1.22,7009.77,671.88,0.0,organic,Houston
1.02,4007.41,118435.79,1201.5,conventional,Indianapolis
1.63,76.89,874.32,0.0,organic,Indianapolis
0.97,105203.79,19147.78,468.7,conventional,Jacksonville
1.81,803.33,47.67,6.98,organic,Jacksonville
0.8,134003.07,120628.37,4591.23,conventional,Las Vegas
1.5,3730.8,2141.91,0.0,organic,Las Vegas
0.85,1837999.65,524430.47,64225.78,conventional,Los Angeles
1.25,47721.51,1723.4,0.0,organic,Los Angeles
0.92,1991.63,75090.16,283.88,conventional,Louisville
1.48,12.41,824.64,0.0,organic,Louisville
0.97,398670.03,54844.33,39.07,conventional,Miami/Ft. Lauderdale
1.82,1438.04,53.73,0.0,organic,Miami/Ft. Lauderdale
1.0,113865.83,11083.58,11699.03,conventional,Nashville
1.84,244.34,2700.02,76.21,organic,Nashville
0.94,148384.22,14085.72,218.63,conventional,New Orleans/Mobile
1.41,220.61,23.64,0.0,organic,New Orleans/Mobile
1.09,23641.0,1127882.44,1871.07,conventional,New York
1.93,2357.18,12692.21,9.47,organic,New York
1.0,190743.27,38265.21,75.22,conventional,Orlando
1.8,1200.41,53.55,0.0,organic,Orlando
1.1,24190.91,294715.33,2121.45,conventional,Philadelphia
1.72,384.3,1597.97,11.42,organic,Philadelphia
0.65,770635.37,178418.32,6509.41,conventional,Phoenix/Tucson
1.12,14569.66,1868.59,0.0,organic,Phoenix/Tucson
1.52,3013.04,35456.88,1561.7,conventional,Pittsburgh
1.81,754.0,124.33,0.0,organic,Pittsburgh
0.97,126485.75,377138.79,19781.57,conventional,Portland
1.28,17580.96,11685.08,3.15,organic,Portland
1.2,53316.16,72178.46,39928.01,conventional,Raleigh/Greensboro
2.01,58.22,1493.9,772.21,organic,Raleigh/Greensboro
1.13,56293.75,80396.09,9762.41,conventional,Richmond/Norfolk
1.54,238.48,1678.83,372.55,organic,Richmond/Norfolk
1.13,48285.15,37562.78,34.1,conventional,Roanoke
1.39,56.21,2760.82,0.0,organic,Roanoke
1.05,110693.69,270107.61,9737.5,conventional,Sacramento
1.33,3727.52,4327.52,0.0,organic,Sacramento
0.94,244152.26,165299.33,15302.75,conventional,San Diego
1.23,17522.46,735.22,2.87,organic,San Diego
0.99,179507.69,637000.1,8803.79,conventional,San Francisco
1.18,13175.57,9028.34,0.0,organic,San Francisco
0.97,165839.16,341836.86,15291.36,conventional,Seattle
1.49,6821.76,20720.77,1.23,organic,Seattle
1.01,180977.06,46253.49,12923.45,conventional,South Carolina
1.86,355.79,754.78,439.19,organic,South Carolina
