date ,average_price,total_volume,PLU 4046,PLU 4225,PLU 4770,total_bags,small_bags,large_bags,xlarge_bags,type,year
12/1/2016,$9.03,87.44,30.81,55.28,8.34,8.34,87,77,20,M,2008
5/1/2020,$1.64,86.41,24.91,17.56,34.3,33.67,81,60,81,M,2004
4/6/2018,$3.31,10.02,39.92,22.71,35.61,85.95,31,68,10,F,1995
5/18/2017,$4.27,43.16,74.29,45.34,65.09,73.08,19,12,73,M,2009
11/2/2015,$8.00,52.08,78.97,1.91,99.47,74.34,62,30,92,M,1991
3/16/2018,$9.18,81.82,65.83,21.68,18.77,1.15,80,41,50,M,2003
6/18/2016,$7.88,45.71,79.32,83.22,31.02,38.38,71,4,90,F,1993
12/22/2019,$8.50,20.07,23.95,49.8,70.96,8.47,42,72,88,M,1985
2/26/2016,$2.84,95.13,32.26,98.94,38.79,65.76,44,75,75,M,1996
11/14/2015,$3.13,72.94,82.97,10.16,38.05,86.18,5,67,39,F,2009
7/14/2016,$9.37,44.33,45.96,16.31,14.92,90.44,98,48,51,M,2012
10/1/2019,$5.89,90.15,43.03,26.54,31.83,18.75,8,16,2,M,2013
8/31/2017,$7.27,14.07,79.92,28.41,90.53,76.58,75,27,49,F,2004
6/24/2015,$3.25,63.55,9.84,48.47,31.16,17.28,89,53,53,F,1988
7/11/2016,$9.95,95.93,83.36,46.33,84.2,7.71,36,81,4,F,1998
5/30/2018,$6.98,48.79,49.92,10.44,8.5,72.63,77,73,79,F,2013
5/24/2017,$2.39,29.21,15.85,5.27,56.99,81.52,20,43,80,M,1991
2/24/2016,$7.67,8.83,67.23,42.55,47.5,30.19,5,17,89,F,2003
3/10/2015,$3.41,98.26,68.58,66.06,4.75,14.16,33,32,87,F,2006
3/1/2018,$3.88,16.53,96.38,84.89,84.68,28.25,32,71,100,M,2007
2/29/2016,$8.77,10.72,25.24,16.24,95.92,42.43,49,27,91,M,2006
10/9/2019,$9.25,76.74,46.7,3.1,49.25,78.59,82,70,66,M,2004
1/1/2020,$1.12,52.12,9.87,22.3,67.99,3.78,90,37,46,M,2009
7/22/2015,$9.52,38.85,26.72,31.99,60.85,24.46,31,25,69,F,2002
12/10/2017,$3.63,80.8,64.79,62.14,97.52,5.86,78,2,63,F,1996
8/31/2017,$4.52,30.95,80.98,72.81,38.76,4.34,41,40,17,F,1988
1/13/2020,$2.05,33.05,51.08,10.57,37.24,55.58,99,22,85,F,2002
6/25/2015,$1.20,86.69,24.75,92.69,13.19,68.93,73,52,82,F,1999
1/27/2015,$0.57,70.26,89.24,32.35,51.27,82.08,88,15,79,M,1987
6/20/2015,$4.91,4.43,37.75,2.78,33.22,75.91,17,12,13,M,2001
4/27/2016,$7.51,62.25,95.31,82.01,90.93,90.47,92,58,52,M,2000
2/17/2019,$8.50,24.68,14.65,18.45,65.24,55.77,80,10,24,M,2012
3/3/2018,$4.99,85.86,19.95,87.96,75.36,57.96,34,64,14,F,2006
4/18/2019,$8.44,97.14,9.1,82.05,82.5,44.72,45,65,89,F,2003
12/20/2015,$0.62,66.48,87.31,18.85,76.91,44.08,4,73,92,F,2004
2/16/2019,$1.14,66.22,19.8,2.45,28.29,80.04,33,2,40,F,2011
4/20/2015,$1.49,48.58,68.42,12.38,40.9,83.24,93,28,53,F,1989
1/7/2020,$6.83,13.46,73.16,73.55,90.25,31.02,33,1,51,M,2008
6/12/2017,$5.60,23.91,14.67,55.67,95.28,30.62,29,8,66,M,2004
2/5/2018,$3.11,4.02,3.47,83.47,52.14,28.24,55,31,27,M,2006
2/8/2018,$0.48,77.68,68.9,19.26,75.64,54.62,56,17,99,M,2006
11/7/2018,$5.32,5.77,66.33,78.57,10.74,76.6,74,93,12,M,2006
8/4/2017,$1.83,94.0,46.25,33.83,76.22,81.61,73,16,55,F,2002
6/1/2015,$1.24,59.34,73.45,94.27,31.79,70.06,1,13,42,M,1998
8/2/2015,$6.02,18.64,67.04,34.06,10.86,72.56,18,97,70,M,2012
10/18/2018,$9.90,27.59,74.61,89.58,95.58,33.53,3,33,14,M,2005
