MOCK_DATA
date,average_price,total_volume,total_bags,small_bags,larger_bags
1,$7.61,76.9,88.06,92.2,99.85
2,$5.45,62.88,43.92,52.14,90.71
3,$6.58,87.67,93.58,71.86,18.33
4,$4.85,9.68,2.52,85.15,1.06
5,$7.23,23.62,88.77,80.34,93.98
6,$6.54,69.45,97.47,46.98,24.24
7,$2.24,15.08,85.12,26.58,83.72
8,$1.46,19.51,22.77,33.52,98.58
9,$7.50,54.48,1.16,92.54,78.19
10,$5.08,95.26,46.99,66.95,73.55
11,$3.88,39.84,91.97,37.45,68.34
12,$1.58,25.94,64.53,52.02,45.71
13,$2.00,53.93,6.96,81.35,50.02
14,$9.14,62.34,19.25,72.25,42.65
15,$3.37,31.91,23.93,55.18,9.52
16,$3.27,99.92,46.97,23.72,90.83
17,$4.32,43.97,49.62,1.89,69.19
18,$1.06,53.03,93.25,33.14,86.8
19,$3.67,40.02,3.33,51.48,17.06
20,$2.20,67.6,36.34,58.9,65.19
21,$2.00,53.47,87.14,97.24,15.96
22,$6.69,33.96,20.62,87.19,90.29
23,$5.73,78.52,98.1,46.32,55.76
24,$8.80,83.61,66.0,91.12,93.59
25,$9.45,46.9,45.02,71.29,27.12
26,$7.76,14.98,16.82,14.38,99.05
27,$1.33,1.46,45.61,5.43,87.69
28,$3.44,59.88,37.92,5.69,20.07
29,$3.82,37.67,38.39,37.97,9.08
30,$0.05,26.86,32.5,77.27,99.06
31,$4.67,64.53,19.68,8.08,28.93
32,$5.60,11.15,72.0,79.52,1.48
33,$4.56,5.91,28.39,65.1,82.71
34,$7.64,85.9,85.91,10.42,85.55
35,$0.82,58.43,72.69,22.23,76.41
36,$8.14,58.99,56.18,51.77,68.07
37,$8.33,5.76,72.49,81.59,90.37
38,$3.23,93.72,96.45,92.21,86.34
39,$5.59,47.84,9.55,6.17,76.55
40,$7.91,19.97,84.8,33.65,18.56
41,$4.09,78.16,46.29,11.23,79.7
42,$3.70,79.46,15.44,73.03,67.54
43,$6.70,82.29,50.44,7.9,10.15
44,$7.18,39.18,27.43,22.89,32.91
45,$0.63,98.24,57.85,82.1,81.32
46,$1.17,14.87,17.01,71.27,7.39
47,$7.60,22.03,49.14,85.68,83.57
48,$2.93,44.18,45.59,4.32,92.85
49,$6.25,78.71,93.28,19.25,68.3
50,$4.05,74.58,99.32,65.73,28.61
51,$6.62,43.79,2.06,21.81,90.64
52,$9.84,10.39,95.51,20.26,66.39
53,$1.13,47.16,81.01,17.53,18.82
54,$3.22,69.89,38.43,98.25,47.27
55,$0.03,64.34,27.06,91.9,65.26
56,$5.00,52.89,4.6,24.57,11.43
57,$6.47,35.12,82.87,98.46,17.2
58,$3.69,84.97,87.07,97.78,16.65
59,$6.58,54.29,67.22,54.24,72.53
60,$6.11,31.33,3.4,78.44,86.88
61,$2.28,61.22,67.34,90.98,85.97
62,$2.59,68.73,68.9,84.35,59.31
63,$0.70,45.05,16.3,37.82,3.31
64,$9.53,82.77,99.66,25.01,56.34
65,$0.48,80.65,34.16,27.28,36.3
66,$2.67,12.27,51.54,93.36,81.67
67,$4.79,47.6,68.41,13.23,58.41
68,$6.46,48.35,38.11,47.39,26.56
69,$2.35,79.47,25.58,99.25,88.88
70,$2.49,10.19,7.23,12.25,25.3
71,$1.15,44.99,27.89,52.1,47.74
72,$0.56,50.79,42.78,94.47,36.23
73,$4.81,7.59,17.04,3.22,65.87
74,$3.69,45.19,35.26,47.31,87.73
75,$8.38,42.68,83.91,9.98,41.24
76,$6.02,76.09,93.96,64.08,94.13
77,$8.84,90.4,76.42,22.27,53.3
78,$6.25,4.77,50.14,5.51,8.0
79,$3.33,13.36,92.08,28.72,95.23
80,$1.00,89.92,87.98,41.61,68.47
81,$6.98,7.72,30.82,74.54,58.93
82,$6.42,91.21,29.35,15.54,13.58
83,$7.77,47.61,93.37,35.21,85.4
84,$7.07,3.34,93.71,63.86,81.65
85,$6.14,96.75,32.58,72.62,33.52
86,$3.94,31.01,97.02,98.27,27.95
87,$0.39,99.66,81.59,18.25,57.59
88,$6.02,85.08,20.78,58.02,86.78
89,$2.20,10.88,8.55,10.06,20.69
90,$8.28,87.12,98.03,59.08,6.25
91,$0.49,76.62,91.44,17.89,70.37
92,$5.33,73.15,97.6,77.95,52.29
93,$7.26,93.91,50.95,52.03,4.51
94,$5.82,40.59,56.91,21.34,92.29
95,$5.72,22.43,5.79,89.65,85.23
96,$4.07,20.49,83.78,33.23,21.19
97,$1.81,62.95,84.57,74.29,12.62
98,$8.76,73.08,76.36,60.72,69.51
99,$8.96,9.15,57.83,7.96,38.56
100,$5.58,94.89,72.68,50.57,84.94
